"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"G0S2",0,1.87068836602807,0.523,0.168,0
"CXCL8",0,1.78560585517458,0.489,0.24,0
"CXCR2",0,1.57528916456473,0.582,0.171,0
"PTGS2",0,1.36349012103654,0.262,0.058,0
"FCGR3B",0,1.34456324209127,0.604,0.175,0
"CSF3R",0,1.34383302038465,0.76,0.455,0
"JUNB",0,1.30728213788503,0.863,0.746,0
"RGS2",0,1.24468583489385,0.695,0.461,0
"CMTM2",0,1.24176098482013,0.333,0.084,0
"TREM1",0,1.20193766246792,0.432,0.211,0
"DUSP1",0,1.16249417701607,0.698,0.495,0
"IER2",0,1.15142817100837,0.546,0.364,0
"ALDH1A2",0,1.14895297212554,0.265,0.086,0
"NAMPT",0,1.14458493112906,0.753,0.534,0
"YPEL3",0,1.1315152663256,0.682,0.415,0
"SEC14L1",0,1.1206789094077,0.467,0.264,0
"BASP1",0,1.07659648383669,0.627,0.333,0
"CXCR1",0,1.06862746391144,0.367,0.123,0
"FAM129A",0,1.04519477130209,0.533,0.349,0
"MME",0,1.03260489203367,0.274,0.083,0
"CPPED1",0,1.01555069839238,0.39,0.239,0
"AC023157.3",0,1.01081229075473,0.177,0.046,0
"TNFRSF10C",0,1.00165075213644,0.262,0.092,0
"AC012368.1",0,0.974681755277533,0.194,0.046,0
"EPHB1",0,0.971846968487367,0.172,0.036,0
"PHOSPHO1",0,0.967307512546171,0.158,0.014,0
"IFITM2",0,0.945680241148225,0.892,0.826,0
"SOD2",0,0.941072348599247,0.633,0.394,0
"SLC25A37",0,0.935183069271775,0.626,0.396,0
"ICAM3",0,0.933051391594339,0.439,0.27,0
"MNDA",0,0.91470196994898,0.709,0.492,0
"MBOAT7",0,0.914242696717373,0.499,0.326,0
"AC007342.3",0,0.906507635108845,0.205,0.067,0
"CYP4F3",0,0.905973834685816,0.231,0.081,0
"CSF2RB",0,0.885348029340954,0.352,0.202,0
"ITM2B",0,0.88053282685775,0.85,0.692,0
"MYO1F",0,0.878943361298639,0.653,0.516,0
"ABTB1",0,0.872972415846189,0.313,0.159,0
"SRGN",0,0.869311469231994,0.879,0.773,0
"LST1",0,0.868915891106717,0.451,0.304,0
"MMP25",0,0.863514382723704,0.276,0.12,0
"IL1R2",0,0.861092248199697,0.345,0.173,0
"VMP1",0,0.858801969757108,0.461,0.336,0
"JAML",0,0.858762317338401,0.443,0.289,0
"FPR1",0,0.851466420315374,0.62,0.433,0
"XPO6",0,0.843761848500471,0.505,0.335,0
"ARHGAP9",0,0.841139730493981,0.517,0.353,0
"FOS",0,0.834878027922907,0.761,0.639,0
"TAGLN2",0,0.833425507625534,0.66,0.589,0
"TMEM154",0,0.833382546506047,0.368,0.209,0
"BCL2A1",0,0.833367004271443,0.509,0.368,0
"CHI3L1",0,0.824584020984101,0.165,0.04,0
"MT-RNR1",0,0.82332199571022,0.928,0.843,0
"RNF149",0,0.822444681905762,0.688,0.529,0
"SORL1",0,0.814806012711507,0.55,0.366,0
"BTG2",0,0.811952081079271,0.51,0.394,0
"CEBPB",0,0.8103463998919,0.563,0.433,0
"LITAF",0,0.803778104911232,0.738,0.598,0
"PROK2",0,0.77767219503946,0.316,0.15,0
"SAT1",0,0.77622725221661,0.74,0.593,0
"LSP1",0,0.774176072703705,0.681,0.519,0
"AQP9",0,0.767145398478577,0.474,0.319,0
"R3HDM4",0,0.762507981299212,0.498,0.374,0
"MT-RNR2",0,0.760115588967864,1,0.999,0
"GCA",0,0.740321705786295,0.576,0.364,0
"PNRC1",0,0.734599516500577,0.621,0.465,0
"C5AR1",0,0.733712368178963,0.637,0.482,0
"SMCHD1",0,0.727514648313766,0.556,0.438,0
"SMAP2",0,0.726626781033543,0.705,0.621,0
"VNN2",0,0.702212585556349,0.486,0.329,0
"NEAT1",0,0.697425292344151,0.74,0.633,0
"RIPOR2",0,0.607798570777458,0.79,0.697,0
"MCL1",0,0.604345797717538,0.717,0.643,0
"TYROBP",0,0.602602172882095,0.763,0.6,0
"LYN",0,0.594497294217588,0.641,0.539,0
"GMFG",0,0.579537675379991,0.608,0.526,0
"WAS",0,0.575947283715463,0.656,0.595,0
"HLA-C",0,0.545190116010405,0.964,0.946,0
"HLA-E",0,0.507538179888614,0.95,0.893,0
"S100A11",0,0.494469426901555,0.777,0.684,0
"FTH1",0,0.450140696482336,0.883,0.8,0
"RPL30",0,-0.25445977226602,0.55,0.827,0
"RPL18",0,-0.256047915443816,0.328,0.547,0
"RPL38",0,-0.256101306510828,0.465,0.761,0
"RPS13",0,-0.257903464119717,0.453,0.793,0
"HLA-B",0,-0.259055073456797,0.992,0.989,0
"RPL14",0,-0.259599871776898,0.361,0.616,0
"RPL32",0,-0.259618933547572,0.448,0.785,0
"RPL15",0,-0.260011762268179,0.377,0.633,0
"MT-ND1",0,-0.261477934522953,0.91,0.968,0
"RPL13A",0,-0.267326494441475,0.448,0.778,0
"CFL1",0,-0.27044346339212,0.878,0.939,0
"RPL19",0,-0.274018235845114,0.414,0.728,0
"RPL10A",0,-0.278076163704661,0.358,0.611,0
"RPS27",0,-0.278399743584294,0.429,0.745,0
"RPLP2",0,-0.28544297462788,0.403,0.71,0
"POMP",0,-0.28716857632639,0.172,0.34,0
"RPL6",0,-0.291305475134017,0.386,0.675,0
"LILRB4",0,-0.292877814917918,0.033,0.125,0
"NAP1L1",0,-0.293211770328768,0.368,0.613,0
"RPS14",0,-0.293294258199731,0.415,0.76,0
"EWSR1",0,-0.298115768306999,0.231,0.416,0
"RPL23A",0,-0.298728062069958,0.339,0.569,0
"NUCB1",0,-0.301026414032562,0.149,0.322,0
"CTSA",0,-0.302290961378678,0.084,0.217,0
"TAP1",0,-0.30404265924829,0.301,0.523,0
"RPL9",0,-0.314563320549132,0.458,0.791,0
"PARP14",0,-0.314618523751163,0.171,0.359,0
"RPS29",0,-0.315476519464397,0.571,0.88,0
"MT-ATP6",0,-0.315835239437722,0.866,0.957,0
"RACK1",0,-0.318081834651999,0.359,0.641,0
"RPS5",0,-0.318653699865352,0.347,0.597,0
"PHF11",0,-0.31974506475347,0.165,0.34,0
"GM2A",0,-0.324421526325915,0.054,0.174,0
"TRMT6",0,-0.328006572868866,0.034,0.126,0
"RPS18",0,-0.328975063993504,0.413,0.766,0
"DBI",0,-0.329141061594669,0.125,0.275,0
"TMEM167A",0,-0.330805064741262,0.108,0.252,0
"PTP4A2",0,-0.331450456104038,0.469,0.704,0
"PLEC",0,-0.33151206145758,0.071,0.195,0
"RPL11",0,-0.331739250653126,0.438,0.779,0
"HLA-DPB1",0,-0.332690162811613,0.139,0.294,0
"P4HB",0,-0.334937458939924,0.119,0.262,0
"LARP1",0,-0.335636155544664,0.093,0.225,0
